date,city,country,confirmed,deaths,recovered,lat,long
3/11/20,South Dakota,United States,8,1,0,44.2998,-99.4388
3/11/20,Nevada,United States,7,0,0,38.3135,-117.0554
3/11/20,North Carolina,United States,7,0,0,35.6301,-79.8064
3/11/20,Unknown,Ukraine,1,0,0,48.3794,31.1656
3/11/20,Louisiana,United States,6,0,0,31.1695,-91.8678
3/11/20,Wisconsin,United States,6,0,1,44.2685,-89.6165
3/11/20,Minnesota,United States,5,0,0,45.6945,-93.9002
3/11/20,Nebraska,United States,5,0,0,41.1254,-98.2681
3/11/20,New Hampshire,United States,5,0,0,43.4525,-71.5639
3/11/20,Rhode Island,United States,5,0,0,41.6809,-71.5118
3/11/20,Ohio,United States,4,0,0,40.3888,-82.7649
3/11/20,Tasmania,Australia,3,0,0,-41.4545,145.9707
3/11/20,Connecticut,United States,3,0,0,41.5978,-72.7554
3/11/20,New Mexico,United States,3,0,0,34.8405,-106.2485
3/11/20,Utah,United States,3,0,0,40.15,-111.8624
3/11/20,Faroe Islands,Denmark,2,0,0,61.8926,-6.9118
3/11/20,St Martin,France,2,0,0,18.0708,-63.0501
3/11/20,Hawaii,United States,2,0,0,21.0943,-157.4983
3/11/20,Michigan,United States,2,0,0,43.3266,-84.5361
3/11/20,Oklahoma,United States,2,0,0,35.5653,-96.9289
3/11/20,Channel Islands,United Kingdom,2,0,0,49.3723,-2.3644
3/11/20,Northern Territory,Australia,1,0,0,-12.4634,130.8456
3/11/20,New Brunswick,Canada,1,0,0,46.5653,-66.4619
3/11/20,Tibet,China,1,0,1,31.6927,88.0924
3/11/20,Saint Barthelemy,France,1,0,0,17.9,-62.8333
3/11/20,Arkansas,United States,1,0,0,34.9697,-92.3731
3/11/20,Delaware,United States,1,0,0,39.3185,-75.5071
3/11/20,Kansas,United States,1,0,0,38.5266,-96.7265
3/11/20,Missouri,United States,1,0,0,38.4561,-92.2884
3/11/20,Montana,United States,1,0,0,46.9219,-110.4544
3/11/20,Vermont,United States,1,0,0,44.0459,-72.7107
3/11/20,Gibraltar,United Kingdom,1,0,1,36.1408,-5.3536
3/11/20,From Diamond Princess,Australia,0,0,0,35.4437,139.638
3/11/20,Gansu,China,0,0,0,36.0611,103.8343
3/11/20,Hebei,China,0,0,0,38.0428,114.5149
3/11/20,Alaska,United States,0,0,0,61.3707,-152.4044
